YEAR,MONTH,DAY,AIRLINE,ORIGIN_AIRPORT,DESTINATION_AIRPORT,DEPARTURE_DELAY,ARRIVAL_DELAY,DISTANCE,AIR_TIME,CANCELLED,DIVERTED,TAXI_OUT,TAXI_IN,FLIGHT_NUMBER
2015,4,2,AA,DFW,DFW,7,34,452,35,0,0,11,5,4763
2015,5,10,JB,DFW,DEN,101,8,724,220,0,0,25,12,1481
2015,10,25,UA,ORD,DEN,-1,135,2558,153,0,0,19,19,5787
2014,12,28,DL,ATL,ATL,24,101,594,152,0,0,15,13,5562
2015,11,21,JB,DEN,DFW,88,108,2698,264,0,0,21,14,6734
2015,3,19,JB,DEN,DFW,23,56,2759,286,0,0,6,16,3847
2014,12,27,UA,ATL,DFW,28,45,745,188,0,0,16,18,7737
2015,2,7,UA,ATL,DFW,7,35,867,207,1,0,19,5,5554
2014,12,22,AA,DFW,DEN,11,29,293,53,1,0,6,8,7953
2015,3,15,DL,DFW,LAX,14,57,1775,67,0,1,16,19,505
2014,11,11,UA,DFW,ATL,92,17,1269,203,0,0,27,10,9433
2015,5,6,AA,ORD,ORD,16,50,336,287,0,0,27,19,2048
2015,7,5,UA,ATL,DEN,27,131,2279,53,0,0,15,20,6873
2014,2,4,JB,ATL,DFW,73,29,267,233,0,0,21,11,5294
2014,7,6,JB,ORD,ATL,113,32,1734,149,0,0,9,15,3519
2014,6,7,JB,ATL,LAX,14,95,244,152,0,0,22,17,8247
2014,7,12,JB,DFW,ORD,19,19,2946,74,0,0,24,16,3882
2014,7,14,SW,DFW,DFW,5,95,2845,119,0,0,14,13,8570
2014,9,24,JB,DFW,LAX,117,138,572,119,0,1,5,20,4814
2014,7,2,DL,DFW,DEN,84,-9,1365,144,0,0,23,19,2357
2014,12,20,JB,DFW,ORD,60,118,1006,33,0,0,11,14,4967
2015,6,27,SW,LAX,DFW,62,112,1476,136,0,0,8,18,5946
2015,10,23,UA,DFW,ORD,-6,64,242,87,0,0,11,13,9380
2014,8,3,UA,LAX,LAX,16,43,1384,225,0,0,11,11,4593
2015,7,5,SW,ORD,DFW,100,106,1060,226,0,0,11,21,3320
2015,6,10,JB,ORD,DFW,51,124,1595,230,0,0,28,8,8383
2015,4,7,AA,LAX,LAX,111,73,1239,32,0,0,23,6,4441
2015,7,9,DL,ATL,ATL,17,146,2898,39,0,0,13,16,2730
2014,12,22,JB,DFW,LAX,-7,14,2547,145,0,0,6,22,9990
2015,8,18,SW,DEN,ATL,18,-7,2442,140,0,0,14,7,4154
2014,8,25,JB,ATL,DEN,-10,3,737,272,0,0,10,24,1565
2015,12,6,SW,ATL,DFW,37,6,2209,131,0,0,23,11,9100
2015,12,10,JB,DEN,LAX,5,6,2274,73,0,1,7,21,8985
2015,4,12,AA,DEN,ORD,65,134,591,122,1,0,6,8,4480
2014,10,2,AA,DFW,ORD,48,62,2425,126,0,0,28,15,1374
2015,9,1,DL,LAX,DFW,31,110,652,48,0,0,25,19,8591
2014,3,28,DL,DFW,ORD,93,59,1920,81,1,0,26,13,9959
2015,9,4,SW,DFW,ORD,75,55,2388,227,0,0,26,13,4420
2014,3,15,AA,DFW,ORD,102,115,2730,230,0,0,6,19,191
2015,7,2,DL,DFW,DFW,29,4,961,260,0,0,7,18,1467
2014,4,28,SW,ATL,LAX,-5,120,2502,176,0,0,21,16,6156
2014,5,23,DL,ATL,DFW,93,14,1182,242,0,0,14,11,5412
2015,3,27,AA,LAX,DFW,101,45,1269,83,0,0,10,15,3173
2014,2,23,JB,DEN,ATL,76,135,1492,106,0,0,23,6,8575
2015,12,3,UA,ORD,ATL,26,84,1751,259,0,0,11,18,1546
2015,8,27,AA,LAX,ATL,41,0,1399,239,0,0,12,11,2469
2015,7,26,DL,DFW,ATL,108,40,2472,93,0,0,24,5,5202
2015,7,17,UA,DFW,ATL,62,98,240,42,0,0,23,7,5035
2015,8,2,AA,ATL,LAX,16,82,1775,233,1,0,12,9,2643
2015,1,13,DL,LAX,ATL,20,111,1151,43,0,0,26,10,2369
2015,12,8,AA,DEN,DEN,15,127,1668,155,0,0,14,11,8882
2015,8,20,SW,ORD,DEN,109,76,363,214,0,0,8,17,7647
2015,10,19,DL,LAX,DFW,12,32,1772,224,0,0,7,9,8299
2015,12,10,UA,DEN,DFW,69,92,2703,267,1,0,29,24,8151
2015,5,7,AA,DFW,DEN,48,146,1227,280,0,0,14,14,7164
2014,8,26,DL,ORD,DEN,92,73,218,153,0,0,9,9,5958
2014,9,4,JB,ORD,LAX,72,68,1512,48,0,0,9,14,3855
2015,2,18,DL,DEN,DEN,21,56,2315,198,0,0,10,14,2087
2015,3,3,AA,LAX,ORD,52,59,368,176,0,0,7,13,1945
2015,6,15,JB,LAX,DEN,19,9,2061,271,0,1,5,20,3241
2015,9,20,UA,LAX,ATL,27,71,1622,287,0,0,15,15,7731
2015,10,17,JB,ORD,LAX,113,43,1032,265,0,0,6,13,8292
2015,10,24,AA,DEN,ORD,92,103,2803,263,0,0,6,18,2205
2015,8,27,JB,ATL,LAX,3,59,1181,292,0,0,23,9,8554
2015,6,8,AA,ORD,DEN,3,125,2507,192,0,0,12,8,7639
2014,5,21,JB,ORD,ATL,14,136,1353,195,0,0,8,16,2222
2015,3,15,SW,LAX,DFW,2,142,1498,210,0,0,9,17,9305
2014,12,13,UA,ATL,ORD,24,36,1105,148,0,0,18,17,555
2015,4,14,UA,ATL,ATL,44,101,1542,144,0,0,12,11,8693
2015,7,22,UA,DFW,ATL,2,61,556,251,0,0,8,16,8105
2014,7,4,SW,ATL,LAX,115,-8,1135,234,0,0,25,14,2910
2015,3,11,UA,LAX,DEN,23,27,1300,206,0,0,28,9,4699
2014,4,3,JB,DFW,DFW,53,60,269,243,0,0,29,21,5981
2015,3,19,DL,ATL,ATL,30,84,1691,36,0,0,20,18,9112
2015,2,13,SW,DEN,DFW,115,108,2182,170,0,0,27,16,2978
2014,6,4,SW,DFW,DFW,47,-8,2265,181,0,0,12,18,9454
2015,7,13,AA,DFW,ATL,-6,47,2919,108,0,0,7,9,4531
2014,4,15,SW,LAX,DFW,59,-10,1557,76,0,0,18,5,6116
2015,5,6,UA,ATL,ATL,23,83,346,298,0,0,18,19,2747
2014,8,18,SW,ATL,ATL,12,0,1879,159,0,0,9,15,6956
2014,9,22,SW,ORD,LAX,50,24,219,263,0,0,23,19,6685
2015,7,8,JB,LAX,LAX,2,71,1229,77,0,0,16,10,267
2015,10,9,JB,ATL,LAX,12,-9,972,259,0,0,20,22,6370
2014,1,20,SW,DEN,LAX,73,60,2925,164,0,0,5,10,1195
2015,11,21,UA,ORD,ORD,37,117,406,108,0,0,22,6,6497
2015,3,24,JB,DEN,ATL,54,55,432,81,0,0,5,7,8737
2015,11,26,DL,DFW,DEN,98,64,2215,181,0,0,11,19,7080
2014,5,2,JB,LAX,ORD,-10,41,1653,141,0,0,17,7,5044
2014,3,10,AA,DEN,DEN,33,30,830,204,0,0,26,7,5349
2014,1,2,AA,LAX,DFW,9,125,1615,249,0,0,20,12,4378
2014,2,9,SW,DFW,DEN,50,79,1213,85,0,0,5,20,276
2014,8,27,SW,DFW,LAX,41,11,2164,269,0,0,17,19,6722
2014,7,22,UA,ORD,LAX,110,100,1172,107,0,0,21,10,5401
2014,10,26,DL,DEN,ATL,74,62,2440,170,0,0,11,20,5708
2014,3,9,UA,DFW,LAX,35,83,749,215,0,0,15,21,3505
2014,4,13,UA,DEN,DFW,94,144,2599,264,0,0,21,18,8797
2015,3,10,AA,LAX,LAX,110,47,1977,126,0,0,20,15,1934
2014,4,7,DL,ORD,LAX,115,110,2343,163,0,0,25,20,2203
2015,8,13,DL,DFW,ATL,-3,120,365,171,0,0,19,13,7642
2015,9,5,JB,DEN,DEN,12,-4,527,148,0,0,6,15,4745
2015,7,12,SW,DFW,ATL,84,96,1726,196,0,0,24,16,5094
2014,9,9,SW,DEN,ORD,100,42,924,174,0,0,9,17,8910
2014,9,9,AA,ORD,ATL,29,80,2987,209,0,0,23,10,7835
2014,7,18,AA,DEN,ATL,86,100,1380,143,0,0,23,16,6283
2014,7,24,JB,ORD,DFW,73,20,2481,107,0,0,13,16,2670
2015,8,8,JB,LAX,ORD,29,36,1848,220,1,0,14,21,2930
2014,12,18,UA,LAX,ORD,26,53,2477,222,0,0,12,23,6733
2014,10,10,SW,LAX,ORD,90,83,2563,223,0,0,12,11,6029
2014,12,23,JB,DFW,DEN,63,108,1455,202,0,0,21,9,3473
2014,12,1,DL,ORD,DEN,66,140,2817,204,0,0,28,15,9297
2014,3,21,UA,DEN,DEN,106,115,2017,207,0,1,18,8,6568
2015,8,21,UA,ATL,LAX,85,-7,1581,123,0,0,24,15,8923
2014,1,10,SW,LAX,LAX,4,-10,2056,240,1,0,24,24,3407
2015,6,5,SW,DFW,ATL,2,147,295,90,1,0,29,14,4454
2014,2,18,SW,LAX,LAX,43,112,2345,248,0,0,22,11,648
2015,7,19,AA,LAX,DFW,-3,102,1543,238,0,0,17,11,8839
2014,3,13,SW,DFW,DEN,-9,149,216,81,0,0,13,16,8020
2014,11,6,AA,ORD,DFW,114,147,406,157,0,0,22,22,7202
2015,10,17,JB,DFW,ATL,61,100,311,91,0,0,19,21,9540
2015,5,28,DL,LAX,DFW,20,41,2732,149,0,0,6,14,8606
2015,10,22,DL,DFW,DEN,22,60,984,114,0,0,29,7,3392
2014,2,14,UA,DEN,ATL,35,46,873,138,0,0,18,20,814
2015,1,6,UA,LAX,ORD,109,2,1165,111,0,0,12,13,2560
2014,5,23,UA,DEN,DFW,92,125,2764,87,0,0,25,18,3554
2014,9,25,DL,DEN,LAX,64,54,245,290,0,0,9,10,1156
2015,9,16,UA,ATL,DEN,98,-4,1626,105,0,0,24,22,4893
2015,7,9,AA,ATL,ORD,78,49,2916,154,0,0,5,20,9114
2014,9,4,UA,LAX,DFW,-6,102,1070,45,0,0,21,16,9807
2014,4,18,JB,DFW,DEN,96,75,614,266,0,0,29,7,1397
2015,3,5,UA,LAX,ORD,19,120,2969,129,0,0,6,24,2150
2015,11,1,AA,DEN,LAX,97,-5,2300,273,0,0,15,18,5457
2015,4,15,DL,LAX,DFW,40,144,2812,129,0,0,27,17,5125
2014,7,12,DL,ORD,ATL,94,57,878,259,0,0,18,20,7776
2014,8,14,DL,DFW,LAX,20,96,423,145,0,0,13,11,6945
2014,2,28,AA,DFW,ATL,90,59,2344,76,0,0,20,6,702
2014,5,21,DL,DFW,DEN,40,84,2164,92,0,0,17,7,9771
2014,5,12,SW,DEN,LAX,45,67,1711,240,0,0,7,5,7372
2014,9,26,UA,DEN,ATL,72,100,358,195,0,0,8,8,1175
2015,3,13,AA,ORD,LAX,7,127,2019,101,1,0,19,19,7428
2014,12,3,UA,DEN,DFW,-7,146,1958,246,0,0,13,10,5479
2014,6,14,JB,LAX,ORD,89,137,507,52,0,0,6,23,6942
2014,10,23,UA,ATL,DEN,25,-2,427,47,0,0,29,6,8416
2015,12,7,AA,ATL,DEN,11,130,943,157,0,0,18,24,7668
2014,5,3,SW,ORD,LAX,84,51,2575,37,0,0,11,10,8682
2014,2,21,SW,DFW,DFW,79,100,971,237,1,0,19,12,6323
2015,2,9,DL,ORD,DEN,-10,76,581,140,0,0,5,21,983
2014,4,4,SW,ORD,ORD,89,116,2190,262,0,0,10,16,6775
2014,12,2,JB,ORD,ORD,78,98,2601,224,0,1,14,10,1427
2014,4,3,JB,ATL,ATL,77,17,1623,180,0,0,24,21,8559
2014,7,27,UA,ORD,DFW,-10,61,306,192,0,0,26,9,7963
2014,12,1,JB,DFW,ORD,26,108,2483,43,0,0,8,23,6254
2015,1,5,AA,DEN,ORD,111,90,2824,112,0,0,7,23,1179
2015,11,9,DL,DEN,ORD,83,125,1537,240,0,0,22,24,2456
2015,6,18,JB,ATL,DEN,41,70,2635,74,0,0,9,9,5690
2014,11,13,DL,DFW,ATL,99,52,284,102,0,0,7,24,9271
2014,9,19,DL,DEN,ORD,68,118,1154,69,0,0,10,20,8427
2014,2,19,UA,ATL,DFW,51,88,644,37,0,0,14,16,9458
2015,12,7,AA,ORD,LAX,-7,123,1455,56,0,0,24,20,4505
2014,5,28,UA,DEN,LAX,38,43,2717,195,0,0,7,9,2737
2014,10,26,JB,DEN,DFW,-9,92,2444,138,0,0,14,15,8502
2015,11,7,JB,DEN,LAX,8,100,2225,65,0,0,9,9,2145
2014,10,15,DL,ORD,DFW,37,110,973,40,0,0,27,8,3825
2015,4,27,SW,ATL,DFW,77,72,2368,244,0,0,17,20,4278
2015,4,17,DL,DEN,ORD,115,72,2435,30,0,0,15,12,9689
2015,8,3,AA,ORD,LAX,5,41,2562,119,1,0,9,15,4681
2014,6,17,SW,ORD,DEN,90,139,1433,107,0,0,5,21,7078
2014,7,25,SW,ATL,ATL,114,116,2127,177,0,0,8,23,8356
2014,11,23,SW,ATL,DEN,15,36,1979,175,0,0,26,19,9946
2014,12,14,JB,ATL,ORD,74,145,2372,101,0,0,10,6,8588
2014,9,5,AA,ATL,LAX,86,94,1668,110,0,0,25,14,726
2014,3,7,JB,ORD,DFW,18,-8,733,255,0,0,8,18,849
2014,11,19,DL,LAX,DEN,69,78,1896,202,0,0,8,10,2396
2015,2,19,DL,DEN,DEN,68,39,1444,57,0,0,7,9,6421
2014,3,1,DL,ORD,ATL,25,72,865,291,0,0,28,19,3322
2015,8,21,DL,DFW,LAX,56,30,2786,196,1,0,28,9,3838
2014,9,23,JB,LAX,ORD,110,65,2926,32,0,0,10,16,8239
2014,10,19,SW,DFW,LAX,-7,4,2224,187,1,0,14,6,9824
2014,5,21,AA,DEN,LAX,43,67,693,46,0,0,16,8,3440
2015,8,26,UA,DFW,DEN,119,127,651,234,0,1,27,19,3773
2015,11,17,UA,ORD,DFW,76,73,1354,291,0,0,13,22,1323
2015,7,23,DL,DEN,LAX,113,-9,1238,141,0,0,9,16,4024
2015,12,27,JB,ORD,ORD,10,53,1168,192,0,0,29,20,7808
2014,12,15,DL,DFW,DEN,48,121,2772,118,0,0,26,7,4358
2015,9,8,JB,ATL,ATL,14,87,1182,134,0,0,27,18,1321
2014,4,8,SW,DFW,ORD,12,92,1245,129,0,0,17,14,9573
2014,10,1,AA,DFW,ORD,54,19,2202,210,0,0,6,8,6084
2015,3,20,DL,ATL,LAX,113,115,808,135,1,0,8,6,2057
2015,9,9,AA,ATL,ATL,70,96,2289,133,1,0,25,22,3027
2015,8,2,SW,ATL,ATL,99,19,951,157,0,0,22,13,9598
2015,7,1,UA,DFW,ATL,51,44,510,220,0,0,17,5,3968
2015,1,16,DL,LAX,DFW,91,32,886,296,0,0,5,19,7638
2015,2,22,UA,DEN,DFW,-6,123,904,267,0,0,15,20,367
2015,9,13,AA,ORD,DFW,0,101,244,268,0,0,26,22,2064
2015,5,27,AA,DEN,DEN,100,97,677,76,0,0,21,24,6022
2014,1,11,UA,DFW,ORD,60,27,2407,275,0,0,26,10,1434
2015,9,1,SW,ORD,DEN,44,51,2043,72,0,0,28,11,8940
2015,1,6,AA,DFW,ATL,14,52,2728,291,0,0,5,16,1643
2014,8,1,JB,LAX,ORD,61,90,2628,66,0,0,5,12,3797
2015,5,6,AA,ORD,ORD,113,-2,689,213,0,0,11,14,4821
2014,11,9,AA,DFW,ORD,-3,62,2755,136,0,0,29,16,3614
2014,12,13,JB,ORD,DFW,115,67,369,73,0,0,18,19,5015
2015,6,16,AA,DEN,DFW,98,119,2048,206,0,0,10,10,4621
2014,1,21,SW,DEN,DFW,75,95,593,235,0,0,9,15,4407
2014,2,20,JB,LAX,ORD,9,87,2011,239,0,0,12,19,3400
2014,7,24,AA,LAX,DFW,15,2,666,287,0,0,28,14,6449
2014,2,4,JB,LAX,ORD,45,8,1703,76,0,1,27,7,5938
2015,5,20,AA,LAX,LAX,47,-9,2346,57,0,0,16,15,5145
2014,11,11,AA,LAX,ATL,27,102,1525,174,0,0,16,21,8932
2015,9,13,DL,LAX,DEN,63,103,927,121,0,0,10,19,350
2014,5,25,AA,DEN,LAX,111,48,1777,99,0,0,25,8,1910
2014,12,1,DL,LAX,DEN,29,139,1821,184,0,0,21,23,7118
2014,3,28,AA,ATL,ATL,103,22,1646,87,0,0,23,23,7123
2014,11,3,SW,DFW,ATL,98,57,1341,70,0,0,19,11,4496
2015,6,11,UA,DEN,DEN,56,85,1954,211,0,0,17,6,2726
2015,7,20,DL,DFW,DFW,113,-1,417,129,0,0,28,12,3785
2014,10,8,UA,DEN,LAX,101,11,2160,137,0,0,15,13,9767
2014,11,1,UA,DEN,ATL,-3,61,2018,115,1,1,26,18,3834
2015,10,19,SW,DFW,LAX,57,50,1011,103,0,0,8,16,2514
2014,11,14,SW,LAX,LAX,84,111,1849,66,0,0,14,22,3668
2014,8,18,SW,DEN,DEN,21,93,2506,88,0,0,13,22,7686
2014,3,6,UA,ORD,LAX,87,17,416,271,0,0,24,8,1888
2015,11,28,AA,LAX,ORD,11,147,1166,70,0,0,10,8,1910
2015,4,9,JB,DFW,ORD,115,45,2101,195,0,0,25,13,4388
2015,10,26,SW,DFW,ATL,7,42,2000,275,0,0,16,21,5402
2014,4,9,DL,DEN,DFW,109,61,1644,193,0,0,6,18,5666
2014,2,15,AA,DEN,DEN,31,141,451,38,1,0,15,7,4195
2015,7,26,SW,ORD,ATL,98,22,1658,63,0,0,26,12,5451
2015,12,5,SW,ATL,LAX,79,40,1773,48,0,0,20,21,8132
2015,4,19,SW,ORD,ORD,43,134,1840,227,0,0,9,5,8921
2015,4,24,JB,ORD,ATL,96,57,1941,236,1,0,23,7,7461
2014,12,9,AA,LAX,LAX,1,40,1569,149,0,0,28,23,8165
2015,8,9,SW,ORD,DEN,17,-10,1424,202,0,0,28,5,8084
2014,6,27,AA,ATL,DEN,117,34,2298,223,1,0,24,14,7869
2015,6,17,AA,DEN,ATL,85,134,1087,173,0,0,25,11,7554
2014,11,28,UA,DFW,ATL,84,95,844,95,0,0,10,8,3649
2015,9,15,AA,DFW,DEN,59,0,467,178,0,0,16,21,9202
2015,4,26,JB,ATL,ORD,-7,134,2836,176,0,0,8,20,8003
2015,9,21,JB,DEN,ORD,-5,64,1575,97,0,0,7,21,7710
2015,1,10,JB,LAX,ATL,40,46,610,225,0,0,12,22,4338
2014,11,28,JB,DEN,LAX,108,86,2342,167,0,0,15,24,2525
2015,9,9,SW,LAX,DFW,4,136,999,32,0,0,26,16,5860
2014,1,27,AA,LAX,DEN,34,90,2994,298,0,0,19,22,5593
2014,7,19,UA,LAX,ORD,18,19,1644,238,0,0,20,9,819
2014,6,7,SW,DEN,DFW,18,69,1837,99,0,0,5,8,6217
2014,7,25,DL,LAX,LAX,115,131,1298,251,0,0,5,23,1387
2015,9,13,SW,DEN,ORD,29,8,2327,73,0,0,13,5,7978
2014,10,2,SW,ORD,ATL,95,71,1889,142,0,0,9,21,6196
2014,4,18,SW,DFW,ORD,26,22,338,45,0,0,23,9,6163
2014,12,21,SW,DEN,ATL,79,21,1925,84,0,0,12,8,1553
2015,9,8,UA,DFW,ATL,13,91,1171,292,0,0,12,9,3551
2015,3,26,JB,DEN,DEN,100,63,2630,139,0,0,13,10,6609
2015,10,21,AA,LAX,LAX,85,16,1320,250,0,0,21,14,2014
2015,11,8,JB,DFW,ATL,91,63,2615,283,0,0,5,7,2197
2014,11,20,UA,LAX,ORD,83,62,2599,40,0,0,28,8,3962
2014,9,9,UA,ORD,ATL,94,111,2946,178,0,0,13,15,849
2015,1,13,SW,DFW,ORD,104,133,2553,103,0,0,14,13,7975
2014,5,20,SW,ORD,DEN,50,105,559,154,0,0,18,9,882
2014,10,21,AA,LAX,LAX,16,142,1900,143,0,0,11,5,2110
2014,5,28,SW,ATL,DFW,83,59,554,67,0,0,17,8,1581
2015,1,12,AA,ORD,ORD,111,19,1821,261,0,1,13,23,860
2015,1,28,UA,ORD,DFW,84,107,2968,256,0,0,18,24,9495
2014,3,7,AA,ORD,ORD,93,15,878,84,0,0,8,6,623
2015,9,25,AA,ORD,ATL,90,4,1466,299,0,0,5,20,6834
2015,7,21,DL,LAX,DFW,59,0,249,294,0,0,9,18,225
2015,6,23,SW,ATL,DEN,37,112,655,291,1,0,27,18,4488
2015,9,13,JB,DEN,LAX,35,88,1590,277,0,0,18,12,3032
2015,4,13,DL,DEN,DFW,94,23,2212,93,0,0,29,14,8899
2014,4,4,DL,DEN,ATL,87,132,291,47,0,0,20,17,361
2015,3,2,DL,LAX,ORD,75,84,530,200,0,0,21,13,5270
2014,5,2,JB,LAX,DEN,97,140,2810,123,0,0,29,24,6610
2014,5,5,JB,ATL,ATL,76,61,1327,239,0,0,9,6,5753
2015,12,2,DL,DEN,ATL,83,23,2065,92,0,0,21,15,6171
2014,10,15,UA,DEN,DEN,62,41,1899,241,0,1,19,10,8978
2014,7,2,DL,DEN,ATL,22,70,2992,173,0,0,5,7,2818
2014,7,2,AA,DFW,ATL,111,110,2796,269,0,0,5,19,1308
2015,6,20,AA,DEN,ORD,100,126,2390,151,0,0,23,10,627
2015,4,8,JB,DFW,DFW,97,3,591,83,0,0,7,22,9422
2014,7,23,AA,DFW,ATL,81,70,777,222,0,0,15,16,5310
2015,2,5,SW,LAX,ORD,2,-5,393,130,0,0,27,17,4903
2015,12,16,SW,ATL,LAX,75,20,989,250,0,1,24,6,7331
2015,9,23,DL,DEN,DFW,16,97,1905,82,0,0,26,8,2918
2015,7,22,SW,DFW,DFW,11,67,1797,217,0,0,8,11,6170
2014,2,24,SW,LAX,ATL,34,-3,571,174,0,0,16,11,3078
2014,10,14,DL,DEN,ORD,51,90,2155,199,0,0,15,10,6992
2015,2,8,SW,DFW,ORD,11,7,927,51,0,0,20,19,8698
2015,6,23,UA,ORD,LAX,-10,83,459,262,0,0,15,8,3459
2014,11,21,SW,ATL,DFW,80,142,202,86,0,0,17,7,1087
2014,7,22,JB,ORD,DEN,115,35,1437,265,1,0,9,5,3342
2015,9,11,UA,LAX,LAX,6,102,1779,90,0,0,24,23,5534
2014,4,11,DL,ORD,ATL,-1,54,2318,116,0,0,13,16,9395
2015,8,26,DL,ATL,DEN,5,51,792,106,0,1,26,7,6424
2015,10,8,UA,DEN,ATL,72,137,2145,277,0,0,17,14,7986
2014,2,23,DL,ORD,ATL,1,-7,2534,50,0,0,20,22,9885
2014,6,16,JB,DFW,ORD,66,-6,1134,128,0,0,27,7,9622
2015,4,21,AA,DEN,ATL,25,5,2587,257,1,0,13,19,1234
2015,8,26,AA,LAX,DFW,0,80,285,48,0,0,13,23,5818
2014,9,8,DL,DEN,DFW,2,118,1180,170,0,0,23,21,8165
2015,2,20,JB,LAX,ORD,109,86,1970,118,0,0,16,6,4975
2014,7,22,DL,DEN,ATL,78,97,1336,230,0,0,20,22,9639
2015,7,20,AA,ORD,ORD,103,32,497,228,0,0,14,7,7300
2014,8,12,JB,ATL,ORD,55,49,1787,52,0,0,27,10,8399
2014,5,5,DL,DFW,ATL,0,132,879,281,0,0,15,5,813
2014,11,26,SW,DEN,LAX,66,134,380,36,0,0,16,21,4652
2015,3,3,AA,DEN,DFW,102,66,1591,275,0,0,15,13,1374
2015,1,18,AA,DFW,DEN,25,142,2410,65,0,0,10,16,3939
2014,4,27,JB,ORD,DEN,24,52,1350,55,0,0,13,19,5425
2015,3,1,SW,LAX,ORD,96,4,2880,269,0,0,13,14,2656
2014,2,19,SW,ORD,LAX,93,128,213,205,0,0,12,21,2467
2014,6,13,UA,ORD,ATL,-4,13,2794,67,0,0,12,17,7055
2015,7,11,AA,DEN,ORD,77,-6,2611,109,0,0,20,19,3353
2015,10,1,UA,LAX,ATL,75,146,2553,140,0,0,20,24,8534
2014,7,22,SW,ATL,DFW,64,-2,1373,75,0,0,9,6,2136
2015,12,27,JB,LAX,ORD,50,35,876,186,0,0,29,16,2389
2015,8,18,DL,DFW,DFW,82,97,412,213,1,0,20,16,1204
2014,2,19,DL,LAX,DEN,103,146,537,210,0,0,25,16,4046
2014,11,13,AA,DFW,ORD,85,14,2975,234,0,0,14,12,6754
2015,12,8,SW,DEN,LAX,19,6,1256,124,0,0,20,13,9011
2014,10,21,UA,DFW,LAX,59,70,2596,153,0,0,28,12,5310
2014,6,28,JB,DEN,ORD,74,63,2568,298,0,0,22,22,492
